id,Latitude,Longitude,Temperature,Salinity,Pressure,Time,argo_id,Cycle
1,40.16,164.677,19.691,33.621,1.0,,1,1.0
2,40.16,164.677,19.486,33.672,6.3,,1,1.0
3,40.16,164.677,16.005,33.808,10.6,,1,1.0
4,40.16,164.677,14.933,33.78,15.3,,1,1.0
5,40.16,164.677,14.893,33.877,20.7,,1,1.0
6,40.16,164.677,14.202,33.999,25.6,,1,1.0
7,40.16,164.677,13.217,34.025,30.4,,1,1.0
8,40.16,164.677,13.269,34.25,35.8,,1,1.0
9,40.16,164.677,13.427,34.441,40.0,,1,1.0
10,40.16,164.677,13.03,34.427,45.5,,1,1.0
11,40.16,164.677,12.857,34.426,48.8,,1,1.0
12,40.16,164.677,12.534,34.397,54.4,,1,1.0
13,40.16,164.677,12.362,34.376,59.9,,1,1.0
14,40.16,164.677,11.672,34.243,65.4,,1,1.0
15,40.16,164.677,11.155,34.159,68.9,,1,1.0
16,40.16,164.677,9.867,33.987,74.0,,1,1.0
17,40.16,164.677,9.685,33.975,79.1,,1,1.0
18,40.16,164.677,9.512,33.979,85.6,,1,1.0
19,40.16,164.677,9.781,34.053,90.4,,1,1.0
20,40.16,164.677,9.839,34.085,94.7,,1,1.0
21,40.16,164.677,9.762,34.082,100.4,,1,1.0
22,40.16,164.677,9.718,34.081,104.4,,1,1.0
23,40.16,164.677,9.647,34.077,110.3,,1,1.0
24,40.16,164.677,9.561,34.075,114.5,,1,1.0
25,40.16,164.677,9.353,34.061,120.4,,1,1.0
26,40.16,164.677,9.334,34.063,125.1,,1,1.0
27,40.16,164.677,9.304,34.061,129.7,,1,1.0
28,40.16,164.677,9.179,34.05,134.3,,1,1.0
29,40.16,164.677,9.077,34.041,140.7,,1,1.0
30,40.16,164.677,9.022,34.033,145.3,,1,1.0
31,40.16,164.677,8.825,34.013,150.7,,1,1.0
32,40.16,164.677,8.676,34.002,155.3,,1,1.0
33,40.16,164.677,8.636,33.996,160.2,,1,1.0
34,40.16,164.677,8.581,33.987,166.0,,1,1.0
35,40.16,164.677,8.473,33.969,170.8,,1,1.0
36,40.16,164.677,8.149,33.926,175.9,,1,1.0
37,40.16,164.677,7.961,33.901,179.9,,1,1.0
38,40.16,164.677,7.99,33.913,185.1,,1,1.0
39,40.16,164.677,7.974,33.92,190.7,,1,1.0
40,40.16,164.677,7.962,33.922,194.9,,1,1.0
41,40.16,164.677,7.913,33.918,200.5,,1,1.0
42,40.16,164.677,7.819,33.916,210.7,,1,1.0
43,40.16,164.677,7.735,33.927,219.4,,1,1.0
44,40.16,164.677,7.577,33.913,229.9,,1,1.0
45,40.16,164.677,7.535,33.921,240.0,,1,1.0
46,40.16,164.677,7.46,33.919,250.0,,1,1.0
47,40.16,164.677,7.187,33.909,259.7,,1,1.0
48,40.16,164.677,6.994,33.916,270.6,,1,1.0
49,40.16,164.677,6.773,33.907,279.8,,1,1.0
50,40.16,164.677,6.612,33.92,290.5,,1,1.0
51,40.16,164.677,6.552,33.931,299.9,,1,1.0
52,40.16,164.677,6.526,33.953,310.8,,1,1.0
53,40.16,164.677,6.195,33.937,320.6,,1,1.0
54,40.16,164.677,6.178,33.96,329.4,,1,1.0
55,40.16,164.677,6.033,33.963,340.3,,1,1.0
56,40.16,164.677,6.011,33.96,349.6,,1,1.0
57,40.16,164.677,5.535,33.917,359.8,,1,1.0
58,40.16,164.677,5.405,33.921,369.1,,1,1.0
59,40.16,164.677,5.603,33.969,378.4,,1,1.0
60,40.16,164.677,5.493,33.971,390.2,,1,1.0
61,40.16,164.677,5.439,33.974,400.2,,1,1.0
62,40.16,164.677,5.403,33.971,408.4,,1,1.0
63,40.16,164.677,5.213,33.953,420.2,,1,1.0
64,40.16,164.677,5.047,33.948,429.7,,1,1.0
65,40.16,164.677,4.93,33.949,439.3,,1,1.0
66,40.16,164.677,5.03,33.981,450.0,,1,1.0
67,40.16,164.677,5.077,34.002,459.0,,1,1.0
68,40.16,164.677,4.915,33.998,469.5,,1,1.0
69,40.16,164.677,4.731,34.002,479.6,,1,1.0
70,40.16,164.677,4.54,33.994,489.2,,1,1.0
71,40.16,164.677,4.484,34.008,500.3,,1,1.0
72,40.16,164.677,4.409,34.028,520.9,,1,1.0
73,40.16,164.677,4.324,34.059,540.6,,1,1.0
74,40.16,164.677,4.112,34.061,560.2,,1,1.0
75,40.16,164.677,4.181,34.101,580.8,,1,1.0
76,40.16,164.677,3.988,34.105,600.7,,1,1.0
77,40.16,164.677,3.905,34.116,619.8,,1,1.0
78,40.16,164.677,3.781,34.132,639.6,,1,1.0
79,40.16,164.677,3.746,34.143,660.3,,1,1.0
80,40.16,164.677,3.691,34.162,680.3,,1,1.0
81,40.16,164.677,3.651,34.177,700.3,,1,1.0
82,40.16,164.677,3.614,34.191,719.7,,1,1.0
83,40.16,164.677,3.584,34.21,740.4,,1,1.0
84,40.16,164.677,3.514,34.222,760.5,,1,1.0
85,40.16,164.677,3.483,34.239,780.3,,1,1.0
86,40.16,164.677,3.45,34.255,800.7,,1,1.0
87,40.16,164.677,3.405,34.265,821.0,,1,1.0
88,40.16,164.677,3.366,34.275,839.8,,1,1.0
89,40.16,164.677,3.328,34.286,860.3,,1,1.0
90,40.16,164.677,3.281,34.298,880.3,,1,1.0
91,40.16,164.677,3.245,34.312,899.8,,1,1.0
92,40.16,164.677,3.198,34.322,919.9,,1,1.0
93,40.16,164.677,3.143,34.332,940.8,,1,1.0
94,40.16,164.677,3.118,34.343,959.9,,1,1.0
95,40.16,164.677,3.101,34.354,979.8,,1,1.0
96,40.16,164.677,3.04,34.365,1000.7,,1,1.0
97,40.16,164.677,2.969,34.382,1050.7,,1,1.0
98,40.16,164.677,2.884,34.4,1100.6,,1,1.0
99,40.16,164.677,2.802,34.415,1149.9,,1,1.0
100,40.16,164.677,2.71,34.43,1200.7,,1,1.0
101,40.16,164.677,2.633,34.444,1250.3,,1,1.0
102,40.16,164.677,2.577,34.455,1300.4,,1,1.0
103,40.16,164.677,2.514,34.467,1350.7,,1,1.0
104,40.16,164.677,2.455,34.478,1400.2,,1,1.0
105,40.16,164.677,2.399,34.488,1450.8,,1,1.0
106,40.16,164.677,2.333,34.502,1500.6,,1,1.0
107,40.16,164.677,2.28,34.514,1550.6,,1,1.0
108,40.16,164.677,2.237,34.522,1600.5,,1,1.0
109,40.16,164.677,2.188,34.533,1650.7,,1,1.0
110,40.16,164.677,2.138,34.541,1700.6,,1,1.0
111,40.16,164.677,2.108,34.547,1750.2,,1,1.0
112,40.16,164.677,2.093,34.552,1799.3,,1,1.0
113,40.16,164.677,2.066,34.556,1849.9,,1,1.0
114,40.16,164.677,2.033,34.563,1900.5,,1,1.0
115,40.16,164.677,2.001,34.569,1950.8,,1,1.0
116,40.16,164.677,1.964,34.577,2000.4,,1,1.0
117,40.564,164.231,20.657,33.78,0.8,,1,2.0
118,40.564,164.231,20.534,33.812,5.0,,1,2.0
119,40.564,164.231,19.65,33.872,10.8,,1,2.0
120,40.564,164.231,18.581,33.859,15.8,,1,2.0
121,40.564,164.231,16.972,33.869,21.0,,1,2.0
122,40.564,164.231,14.668,33.987,26.1,,1,2.0
123,40.564,164.231,13.648,34.049,30.6,,1,2.0
124,40.564,164.231,12.656,34.128,35.3,,1,2.0
125,40.564,164.231,12.174,34.259,40.6,,1,2.0
126,40.564,164.231,11.734,34.274,44.0,,1,2.0
127,40.564,164.231,11.493,34.259,49.2,,1,2.0
128,40.564,164.231,11.284,34.245,54.2,,1,2.0
129,40.564,164.231,10.978,34.223,59.1,,1,2.0
130,40.564,164.231,10.736,34.192,65.6,,1,2.0
131,40.564,164.231,10.648,34.189,70.5,,1,2.0
132,40.564,164.231,10.431,34.16,75.3,,1,2.0
133,40.564,164.231,10.266,34.141,80.2,,1,2.0
134,40.564,164.231,10.128,34.12,85.0,,1,2.0
135,40.564,164.231,9.875,34.097,90.8,,1,2.0
136,40.564,164.231,9.74,34.084,95.6,,1,2.0
137,40.564,164.231,9.636,34.079,100.4,,1,2.0
138,40.564,164.231,9.616,34.082,105.4,,1,2.0
139,40.564,164.231,9.495,34.074,110.6,,1,2.0
140,40.564,164.231,9.391,34.059,115.8,,1,2.0
141,40.564,164.231,9.345,34.057,119.7,,1,2.0
142,40.564,164.231,9.383,34.065,125.0,,1,2.0
143,40.564,164.231,8.985,34.017,130.2,,1,2.0
144,40.564,164.231,8.833,33.996,135.6,,1,2.0
145,40.564,164.231,8.707,33.979,141.1,,1,2.0
146,40.564,164.231,8.658,33.969,145.9,,1,2.0
147,40.564,164.231,8.487,33.951,150.9,,1,2.0
148,40.564,164.231,8.42,33.943,155.8,,1,2.0
149,40.564,164.231,8.304,33.932,160.9,,1,2.0
150,40.564,164.231,8.227,33.924,164.7,,1,2.0
151,40.564,164.231,8.074,33.909,169.9,,1,2.0
152,40.564,164.231,8.102,33.923,175.1,,1,2.0
153,40.564,164.231,8.132,33.932,180.2,,1,2.0
154,40.564,164.231,8.122,33.935,185.7,,1,2.0
155,40.564,164.231,8.1,33.939,190.8,,1,2.0
156,40.564,164.231,8.047,33.938,196.1,,1,2.0
157,40.564,164.231,7.997,33.936,199.9,,1,2.0
158,40.564,164.231,7.813,33.938,210.1,,1,2.0
159,40.564,164.231,7.755,33.931,220.8,,1,2.0
160,40.564,164.231,7.474,33.903,230.4,,1,2.0
161,40.564,164.231,7.295,33.88,239.8,,1,2.0
162,40.564,164.231,6.848,33.845,250.6,,1,2.0
163,40.564,164.231,6.566,33.832,261.0,,1,2.0
164,40.564,164.231,6.363,33.822,269.9,,1,2.0
165,40.564,164.231,6.229,33.838,280.3,,1,2.0
166,40.564,164.231,6.218,33.856,289.7,,1,2.0
167,40.564,164.231,6.301,33.909,300.5,,1,2.0
168,40.564,164.231,6.291,33.931,310.2,,1,2.0
169,40.564,164.231,6.254,33.934,320.2,,1,2.0
170,40.564,164.231,6.036,33.936,330.5,,1,2.0
171,40.564,164.231,5.841,33.938,339.3,,1,2.0
172,40.564,164.231,5.653,33.945,350.4,,1,2.0
173,40.564,164.231,5.542,33.939,360.3,,1,2.0
174,40.564,164.231,5.406,33.922,371.0,,1,2.0
175,40.564,164.231,5.148,33.902,380.9,,1,2.0
176,40.564,164.231,5.112,33.921,390.0,,1,2.0
177,40.564,164.231,5.043,33.93,401.0,,1,2.0
178,40.564,164.231,4.785,33.913,410.7,,1,2.0
179,40.564,164.231,4.591,33.913,420.4,,1,2.0
180,40.564,164.231,4.745,33.952,430.2,,1,2.0
181,40.564,164.231,4.837,33.984,440.4,,1,2.0
182,40.564,164.231,4.857,33.998,448.8,,1,2.0
183,40.564,164.231,4.845,34.019,460.6,,1,2.0
184,40.564,164.231,4.849,34.033,470.2,,1,2.0
185,40.564,164.231,4.8,34.039,479.9,,1,2.0
186,40.564,164.231,4.697,34.04,490.7,,1,2.0
187,40.564,164.231,4.667,34.052,500.3,,1,2.0
188,40.564,164.231,4.615,34.076,520.4,,1,2.0
189,40.564,164.231,4.483,34.077,539.9,,1,2.0
190,40.564,164.231,4.359,34.09,560.5,,1,2.0
191,40.564,164.231,4.227,34.105,580.3,,1,2.0
192,40.564,164.231,4.214,34.128,599.8,,1,2.0
193,40.564,164.231,4.194,34.144,620.4,,1,2.0
194,40.564,164.231,4.1,34.162,640.9,,1,2.0
195,40.564,164.231,3.935,34.169,660.4,,1,2.0
196,40.564,164.231,3.723,34.159,680.2,,1,2.0
197,40.564,164.231,3.661,34.176,699.3,,1,2.0
198,40.564,164.231,3.624,34.197,719.9,,1,2.0
199,40.564,164.231,3.596,34.213,739.4,,1,2.0
200,40.564,164.231,3.528,34.225,759.5,,1,2.0
201,40.564,164.231,3.498,34.23,779.7,,1,2.0
202,40.564,164.231,3.466,34.249,799.7,,1,2.0
203,40.564,164.231,3.427,34.262,819.7,,1,2.0
204,40.564,164.231,3.392,34.269,839.7,,1,2.0
205,40.564,164.231,3.353,34.28,860.2,,1,2.0
206,40.564,164.231,3.304,34.294,880.9,,1,2.0
207,40.564,164.231,3.252,34.302,900.9,,1,2.0
208,40.564,164.231,3.213,34.317,920.1,,1,2.0
209,40.564,164.231,3.154,34.327,940.3,,1,2.0
210,40.564,164.231,3.131,34.344,960.0,,1,2.0
211,40.564,164.231,3.099,34.352,980.6,,1,2.0
212,40.564,164.231,3.044,34.361,1000.8,,1,2.0
213,40.564,164.231,2.966,34.384,1050.5,,1,2.0
214,40.564,164.231,2.88,34.4,1100.6,,1,2.0
215,40.564,164.231,2.811,34.414,1150.9,,1,2.0
216,40.564,164.231,2.719,34.43,1199.9,,1,2.0
217,40.564,164.231,2.666,34.442,1249.6,,1,2.0
218,40.564,164.231,2.585,34.456,1300.0,,1,2.0
219,40.564,164.231,2.53,34.469,1350.4,,1,2.0
220,40.564,164.231,2.471,34.479,1400.2,,1,2.0
221,40.564,164.231,2.418,34.489,1450.0,,1,2.0
222,40.564,164.231,2.376,34.497,1499.9,,1,2.0
223,40.564,164.231,2.314,34.51,1550.4,,1,2.0
224,40.564,164.231,2.263,34.519,1599.1,,1,2.0
225,40.564,164.231,2.21,34.528,1649.2,,1,2.0
